site_id,date,time,ap_name,sn,mac,ip,ap_firmware,group,controller,ap_model,ap_boot,ssid,operatingmode_radio1,operatingmode_radio2,power_radio1,power_radio2,channel_radio1,channel_radio2,state_radio1,state_radio2,ap_uptime
CSBETH4,20220429,00:00:02,A18-B-IDFC-2-05,CNG6K7Y05G,80:8D:B7:CF:C3:D8,172.17.32.204,A1.0,6-CH-104-BACK-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,104,ch2,rstate1,rstate2,458 days 19:54:11.04
CSBETH4,20220429,00:00:02,A18-F-IDFD-2-05,CNG6K7Y010,80:8D:B7:CF:C2:86,172.17.32.231,A1.0,3-CH-60-FRONT-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,60,ch2,rstate1,rstate2,458 days 19:54:22.04
CSBETH4,20220429,00:00:02,A19-B-IDFD-2-03,CNG9K7Y0HR,80:8D:B7:CF:E0:B4,172.17.32.218,A1.0,5-CH-100-BACK-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,100,ch2,rstate1,rstate2,458 days 19:54:22.04
CSBETH4,20220429,00:00:02,A19-F-IDFC-2-03,CNG6K7Y00R,80:8D:B7:CF:C2:AE,172.17.32.199,A1.0,2-CH-56-FRONT-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,56,ch2,rstate1,rstate2,458 days 19:54:10.04
CSBETH4,20220429,00:00:02,A20-B-IDFC-2-01,CNG6K7Y00N,80:8D:B7:CF:C2:7A,172.17.32.198,A1.0,4-CH-64-BACK-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,64,ch2,rstate1,rstate2,458 days 19:54:12.04
CSBETH4,20220429,00:00:02,A20-F-IDFD-2-01,CNG6K7Y00G,80:8D:B7:CF:C2:74,172.17.32.230,A1.0,1-CH-52-FRONT-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,52,ch2,rstate1,rstate2,458 days 19:54:22.04
CSBETH4,20220429,00:00:02,IB1-L-Z2-IDFB-5-42,CNG6K7Y00F,80:8D:B7:CF:C2:A6,172.17.33.50,A1.0,14-CH-153-IB2-LEFT,172.17.34.92,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,48,ch2,rstate1,rstate2,13 days 7:19:05.04
CSBETH4,20220429,00:00:02,IB1-R-Z4-IDFA-1-16,CNG6K7Y05M,80:8D:B7:CF:C3:94,172.17.33.48,A1.0,15-CH-157-IB1-RIGHT,172.17.34.92,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,165,ch2,rstate1,rstate2,458 days 19:54:22.04
CSBETH4,20220429,00:00:02,L-D11-IDFA-1-48,CNG6K7Y00P,80:8D:B7:CF:C2:BE,172.17.32.243,A1.0,9-CH-116-LEFT-DECK,172.17.34.93,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,116,ch2,rstate1,rstate2,458 days 19:54:11.04
CSBETH4,20220429,00:00:02,L-D13-IDFA-2-45,CNG6K7Y00J,80:8D:B7:CF:C2:CE,172.17.32.249,A1.0,9-CH-116-LEFT-DECK,172.17.34.92,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,116,ch2,rstate1,rstate2,458 days 19:54:12.04
