,InterestingEventTime,EventDescription,currentThreadID,BotNumber
77,2022-04-29 17:16:28.896600, Dynamic Status,43,3466
78,2022-04-29 17:16:29.322700, Event : Action Status : ReadLocationID 1000001 : Status Completed,43,3466
79,2022-04-29 17:16:29.525700, Event : Alert ActionId:1000001 Text:Level:2|LocationID:3363,43,3466
80,2022-04-29 17:16:29.525700, Event : OperationalState : OperationalState Idle : SubState SubStateOK,43,3466
81,2022-04-29 17:16:30.902800, Dynamic Status,43,3466
82,2022-04-29 17:16:32.898000, Dynamic Status,43,3466
83,2022-04-29 17:16:34.907200, Dynamic Status,43,3466
84,2022-04-29 17:16:36.122400, Initialize : Cmd 1000002 : Response,43,3466
85,2022-04-29 17:16:36.331400, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
86,2022-04-29 17:16:36.332400, Event : Action Status : AddWayPoint 1000002 : Status Started,43,3466
87,2022-04-29 17:16:36.913400, Dynamic Status,43,3466
88,2022-04-29 17:16:37.195500, Initialize : Cmd 1000003 : Response,43,3466
89,2022-04-29 17:16:38.205600, Initialize : Cmd 1000004 : Response,43,3466
90,2022-04-29 17:16:38.454600, Dynamic Status,43,3466
91,2022-04-29 17:16:40.240800, Dynamic Status,43,3466
92,2022-04-29 17:16:42.212000, Dynamic Status,43,3466
93,2022-04-29 17:16:42.416000, Event : Action Status : AddWayPoint 1000002 : Status Completed,43,3466
94,2022-04-29 17:16:42.417000, Event : Action Status : AddWayPoint 1000003 : Status Started,43,3466
95,2022-04-29 17:16:43.278100, Initialize : Cmd 1000005 : Response,43,3466
96,2022-04-29 17:16:44.215200, Dynamic Status,43,3466
97,2022-04-29 17:16:45.596300, Dynamic Status,43,3466
98,2022-04-29 17:16:45.799300, Event : Action Status : AddWayPoint 1000003 : Status Completed,43,3466
101,2022-04-29 17:16:45.800300, Dynamic Status,43,3466
100,2022-04-29 17:16:45.800300, Event : Alert ActionId:0 Text:Level:2|Xposition_mm:4599|Yposition_mm:2418|Yaw_mrad:1574|LinearVel_mmps:22|RotationVel_mradps:113,43,3466
99,2022-04-29 17:16:45.800300, Event : Action Status : AddWayPoint 1000004 : Status Started,43,3466
102,2022-04-29 17:16:45.801300, Event : Alert ActionId:1000004 Text:Xposition_mm:4599|Yposition_mm:2418|Yaw_mrad:1582|LinearVel_mmps:7|RotationVel_mradps:178|Reason:,43,3466
103,2022-04-29 17:16:45.801300, Event : Action Status : AddWayPoint 1000004 : Status Completed,43,3466
104,2022-04-29 17:16:45.801300, Event : Action Status : AddWayPoint 1000004 : Status Completed,43,3466
105,2022-04-29 17:16:45.801300, Event : Action Status : AddWayPoint 1000005 : Status Completed,43,3466
106,2022-04-29 17:16:45.802300, Event : Action Status : AddWayPoint 1000006 : Status Completed,43,3466
107,2022-04-29 17:16:45.802300, Event : Action Status : AddWayPoint 1000007 : Status Completed,43,3466
108,2022-04-29 17:16:45.803300, Event : Action Status : AddWayPoint 1000008 : Status Completed,43,3466
109,2022-04-29 17:16:45.803300, Event : OperationalState : OperationalState Alarm : SubState StuckDetected,43,3466
110,2022-04-29 17:16:45.803300," Event : Hardware State : LiftArmsOK, PusherBarOK, RollersOK, LineSensors, AisleSensorsOK, CaseEdgeSensor, MultiLevel, EnabledBySafety",43,3466
111,2022-04-29 17:16:45.830300, Initialize : Cmd 1000006 : Response,43,3466
112,2022-04-29 17:16:46.027400, Event : Action Status : Recover 1000009 : Status Started,43,3466
113,2022-04-29 17:16:47.737500, Dynamic Status,43,3466
114,2022-04-29 17:16:49.746700, Dynamic Status,43,3466
115,2022-04-29 17:16:49.947800," Event : Hardware State : DriveSystemOK, LiftArmsOK, PusherBarOK, RollersOK, LineSensors, AisleSensorsOK, CaseEdgeSensor, MultiLevel, EnabledBySafety",43,3466
116,2022-04-29 17:16:49.948800, Event : OperationalState : OperationalState Recovery : SubState StuckDetected,43,3466
