,AffectedBot,StartTime,DisconnectThread,LogType,TypeOfError,EndTime,ReconnectThread,LenOfDisco,DiscoType,EventsBetween
62,BOT3126,2022-04-29 17:34:49.640700,156,ERROR,Unknown,2022-04-29 17:34:49.640700,0,0.0,Orphan error,0
93,BOT3164,2022-04-29 12:10:20.269700,159,INFO,none,2022-04-29 12:10:20.269700,159,0.0,Orphan Connection Established,0
94,BOT3164,2022-04-29 14:05:30.243600,143,INFO,none,2022-04-29 14:05:30.243600,143,0.0,Orphan Connection Established,0
95,BOT3164,2022-04-29 14:23:46.972600,19,INFO,none,2022-04-29 14:23:46.972600,19,0.0,Orphan Connection Established,0
8,BOT3167,2022-04-29 02:30:22.882500,246,ERROR,ConnectionAborted,2022-04-29 02:30:28.394100,39,5.5116,Flicket,4
9,BOT3167,2022-04-29 15:46:38.475700,77,ERROR,ConnectionReset,2022-04-29 15:48:44.760300,148,126.2846,restart,36
10,BOT3167,2022-04-29 15:49:56.068400,72,INFO,none,2022-04-29 15:49:56.068400,72,0.0,Orphan Connection Established,0
43,BOT3275,2022-04-29 05:34:43.812700,51,ERROR,ConnectionReset,2022-04-29 05:34:48.230700,116,4.418,Connecting,4
44,BOT3275,2022-04-29 14:13:53.561800,82,INFO,none,2022-04-29 14:13:53.561800,82,0.0,Orphan Connection Established,0
37,BOT3456,2022-04-29 14:34:45.959500,75,INFO,none,2022-04-29 14:34:45.959500,75,0.0,Orphan Connection Established,0
72,BOT3460,2022-04-29 08:08:11.867700,160,ERROR,ConnectionReset,2022-04-29 08:08:18.291700,217,6.424,Flicket,4
98,BOT3461,2022-04-29 23:52:34.981000,179,ERROR,ConnectionReset,2022-04-29 23:52:41.948000,72,6.967,Flicket,4
4,BOT3463,2022-04-29 14:55:19.773800,110,ERROR,ConnectionAborted,2022-04-29 21:27:30.697700,109,23530.9239,restart,824
5,BOT3463,2022-04-29 22:50:03.374900,136,INFO,none,2022-04-29 22:50:03.374900,136,0.0,Orphan Connection Established,0
6,BOT3463,2022-04-29 23:41:06.245000,72,INFO,none,2022-04-29 23:41:06.245000,72,0.0,Orphan Connection Established,0
7,BOT3463,2022-04-29 23:44:21.940000,183,ERROR,Unknown,2022-04-29 23:44:21.940000,0,0.0,Orphan error,0
50,BOT3466,2022-04-29 16:32:50.637800,174,INFO,none,2022-04-29 16:32:50.637800,174,0.0,Orphan Connection Established,0
51,BOT3466,2022-04-29 17:15:25.663300,109,INFO,none,2022-04-29 17:15:25.663300,109,0.0,Orphan Connection Established,0
69,BOT3472,2022-04-29 09:15:19.079700,99,INFO,none,2022-04-29 09:15:19.079700,99,0.0,Orphan Connection Established,0
70,BOT3472,2022-04-29 10:43:39.199700,210,ERROR,ConnectionReset,2022-04-29 10:43:53.404700,238,14.205,Flicket,4
71,BOT3472,2022-04-29 22:50:51.618700,212,ERROR,ConnectionReset,2022-04-29 22:51:00.424600,136,8.8059,Flicket,4
115,BOT3475,2022-04-29 21:48:30.877700,174,INFO,none,2022-04-29 21:48:30.877700,174,0.0,Orphan Connection Established,0
